IMF Z log(age) U B1 B2 V R u g r i z
CHA 0.0001 6.93 0.26707262571524826 1.2360410007771572 1.2233444580879862 1.4580510888143565 1.5773498038251308 1.3912074120651403 1.6803082708257526 2.108732060015837 2.5060924738723975 2.773596777602362
CHA 0.0001 6.94 0.28476673024380017 1.2518423865010417 1.2391697870614466 1.4733802533478044 1.5923809760942145 1.4093177041863334 1.6958653699031578 2.1238915409244234 2.520855609904897 2.787971663208365
CHA 0.0001 6.95 0.30397560942366075 1.2688677826632748 1.2562235165737037 1.489818486160105 1.6083995865646301 1.429011048073233 1.712595963460641 2.1400913402241577 2.536491879383829 2.8030519586462623
CHA 0.0001 6.97 0.34368007929517064 1.3040050136277022 1.2914211817265164 1.523753572493122 1.6414891186203393 1.4696897030114093 1.747120131492712 2.1735541420216697 2.5687940443123884 2.8342492058636544
CHA 0.0001 6.98 0.37176356317336223 1.3291881062900428 1.316646689253724 1.5480257735905167 1.6650790125133472 1.4983681529330801 1.771861095354749 2.1974260614992978 2.5918062576587864 2.8564486247360725
CHA 0.0001 6.99 0.4118860504130426 1.3653402505131012 1.3528578597473169 1.582944165412198 1.6990511452678247 1.539283835237915 1.8074079757768522 2.2318002432776587 2.624946639564006 2.8884585338458186
CHA 0.0001 7.0 0.4402854404536909 1.3916526369745488 1.379201928353425 1.6086746151660376 1.7243247766852225 1.5680661904668063 1.8334140685487248 2.2572904542110073 2.6497438070940524 2.9125947696134467
CHA 0.0001 7.04 0.6326930595673765 1.5765097331422546 1.5641757079292131 1.7926476542491714 1.9083935856740064 1.7612345238385934 2.0174832979129795 2.441492612809396 2.833376039905955 3.0963180763015905
CHA 0.0001 7.08 0.6702496804247866 1.5976195090138428 1.585494458167943 1.8089836118494267 1.9209357794225168 1.8024396920768573 2.0363580011675473 2.4555545507740795 2.8429518076471374 3.1011646381384117
CHA 0.0001 7.11 0.7155766820711136 1.6261869145225132 1.6142888501687107 1.8322876076821948 1.9400727058529543 1.851333434858359 2.062493577014434 2.4763251320549506 2.8589618791759057 3.112376414598413
CHA 0.0001 7.15 0.7774970245959716 1.663997538667429 1.6524411587957861 1.861260008518948 1.9618935611568915 1.9190115424644438 2.096379947515492 2.5008600687581626 2.8755066920171735 3.1209353526927663
CHA 0.0001 7.18 0.9107796299831012 1.7818783399063232 1.7705789613930176 1.973286014979779 2.068819891306007 2.0552394634658504 2.211543475248026 2.6099156122719385 2.9780040784345707 3.2171226179012655
CHA 0.0001 7.2 0.9617041972885021 1.8288317973126413 1.8175764050112666 2.020143288265251 2.116800727751401 2.107017698814514 2.258223058943171 2.657385260867462 3.027058931122004 3.268010214573882
CHA 0.0001 7.23 1.0077606195530477 1.8589287347941217 1.8478866180055622 2.045016215574478 2.1377019623290643 2.156914655237306 2.2859496691440433 2.6797785400927743 3.0450880401444187 3.281519426001109
CHA 0.0001 7.26 1.049112815119581 1.8813098131387558 1.870512970956517 2.061528794697336 2.1498035910835998 2.202905532029481 2.305639187110591 2.693537728554032 3.054015216485437 3.285310837672595
CHA 0.0001 7.28 1.0817892136222544 1.8992499304847545 1.8886436657487715 2.074721721587677 2.1592940213944094 2.2392098796751774 2.321447965951419 2.7044252694182638 3.0608407636994293 3.28764479672324
CHA 0.0001 7.3 1.1344152910641596 1.94584551363446 1.9353485997538111 2.118941008928765 2.201637776075573 2.293016924536109 2.3669090136367053 2.7475317161050348 3.1016346606380885 3.326825908465023
CHA 0.0001 7.34 1.2740646526532369 2.0740966258910536 2.0637954967821135 2.243763352548258 2.324567522727737 2.4346425699233527 2.4933246618918523 2.871250528402816 3.2228802992672576 3.446172611674766
CHA 0.0001 7.38 1.31245574821356 2.0929492527824523 2.0829113822399647 2.256016685130897 2.33133288156595 2.477893999558885 2.509230309962644 2.8801444371005807 3.2254992338569486 3.442420634706854
CHA 0.0001 7.41 1.3498373725538535 2.1153328313703534 2.105501224060742 2.2732311237639524 2.344154619346423 2.5189452389847253 2.5293120587670734 2.894689996044993 3.234955681477634 3.446864776575969
CHA 0.0001 7.45 1.3976167532794979 2.1405077418073915 2.130975839283265 2.290915827271028 2.3554044864076045 2.572350569510325 2.5511554871512465 2.9084726200668363 3.2412898034917936 3.445945361023829
CHA 0.0001 7.48 1.4405452310881348 2.164202399383714 2.154930672485519 2.3079910557241257 2.366920617028154 2.6202008817697524 2.5719157688207495 2.9221485658530333 3.2486643570848464 3.4469954121031328
CHA 0.0001 7.51 1.5401368080486182 2.2559006844609684 2.2467949086390275 2.3965824777386375 2.4523594235175206 2.7204446720196365 2.662078502098081 3.009060349922455 3.331012034797238 3.5260728308758167
CHA 0.0001 7.53 1.630991805794113 2.34143678861201 2.3324057494122306 2.482477573700148 2.5406687821951097 2.8116358805586947 2.7473157593345383 3.0963748676239553 3.4213322346413952 3.6187105971522704
CHA 0.0001 7.56 1.655949327220516 2.350347976911137 2.341514140300077 2.4870887601991307 2.5413971719754263 2.8401266203924087 2.754236561788131 3.0987324019009868 3.4189155549640637 3.611280176971524
CHA 0.0001 7.58 1.6774241087735091 2.361995259738757 2.3532674778879024 2.4969291544738477 2.5495287657997716 2.8632249529143485 2.7649788082223927 3.107666729524238 3.4255342524508356 3.6151332177423803
CHA 0.0001 7.6 1.7023713523695223 2.3753477275773967 2.366768405752766 2.506983691568516 2.5566915874266245 2.8907342319317073 2.7768080688189634 3.1160353432733507 3.4303714671307026 3.6163912395240465
CHA 0.0001 7.62 1.7208872802884936 2.382014718586753 2.37358479498862 2.509943743702675 2.556401877312841 2.9124133748989443 2.7818234362615875 3.1170413245499993 3.4275659630477384 3.610057879618443
CHA 0.0001 7.64 1.7554059882331159 2.404059250654859 2.395792955676619 2.5275930989670474 2.5699530147676843 2.9503219764968356 2.8019774400805395 3.1322308688824996 3.4379483916103886 3.6158202953479424
CHA 0.0001 7.66 1.776650050308498 2.4159556377363796 2.4078145721161626 2.5360546897207064 2.575073988860735 2.9741356369779743 2.8124128317947714 3.1386972015405283 3.440460580112306 3.614758809421159
